,ICAO,lat,long
1682,ESSL,58.406,15.68
1684,ESSP,58.586,16.251
1686,ESST,60.157,12.991
1687,ESSU,59.351,16.708
1688,ESSV,57.663,18.346
1692,ESUA,64.571,19.314
1694,ESUD,64.961,17.696
1695,ESUE,61.869,12.691
1696,ESUF,65.106,20.761
1700,ESUK,67.765,20.257
1704,ESUT,65.806,15.083
1715,ETAD,49.973,6.692
1716,ETAR,49.438,7.601
1735,ETEJ,49.92,10.914
1736,ETEK,49.65,7.3
1738,ETEU,49.648,9.966
1770,ETHB,52.278,9.082
1771,ETHC,52.591,10.022
1772,ETHE,52.291,7.387
1773,ETHF,51.114,9.286
1775,ETHI,53.994,9.578
1776,ETHL,48.22,9.91
1777,ETHM,50.366,7.315
1778,ETHN,49.392,9.958
1779,ETHR,49.218,11.101
1780,ETHS,52.919,10.184
1781,ETHT,51.768,14.292
1782,ETIC,49.699,11.941
1783,ETID,50.169,8.961
1784,ETIE,49.393,8.652
1785,ETIH,49.218,11.836
1787,ETIN,49.743,10.201
1794,ETME,54.625,9.341
1796,ETMN,53.767,8.658
1798,ETND,52.585,8.341
1799,ETNG,50.961,6.042
1800,ETNH,54.312,9.538
1802,ETNJ,53.533,7.889
1804,ETNL,53.918,12.279
1805,ETNN,50.831,6.658
1806,ETNP,52.339,7.541
1807,ETNR,51.664,14.634
1808,ETNS,54.459,9.516
1809,ETNT,53.548,7.667
1810,ETNU,53.602,13.306
1811,ETNW,52.457,9.427
1814,ETOI,49.634,11.767
1819,ETOR,49.563,8.463
1820,ETOU,50.05,8.325
1825,ETSA,48.071,10.906
1826,ETSB,50.174,7.063
1827,ETSE,48.322,11.949
1828,ETSF,48.206,11.267
1829,ETSH,51.768,13.167
1830,ETSI,48.716,11.534
1831,ETSL,48.186,10.862
1832,ETSM,47.989,10.239
1833,ETSN,48.711,11.211
1837,ETUL,51.602,6.143
1839,ETUO,51.923,8.306
1840,ETUR,51.2,6.132
1841,FAAB,-28.575,16.533
1843,FAAG,-29.282,18.814
1845,FAAP,-25.944,29.81
1849,FABB,-26.239,28.302
1852,FABE,-32.897,27.279
1857,FABL,-29.092,26.302
1858,FABM,-28.248,28.336
1860,FABO,-27.367,26.629
1877,FACR,-26.369,27.35
1878,FACT,-33.965,18.602
1879,FACV,-31.5,19.726
1881,FADA,-30.637,23.92
1882,FADB,-24.805,26.832
1884,FADD,-28.183,30.224
1891,FADN,-29.97,30.95
1899,FAEL,-33.036,27.826
1901,FAEO,-26.495,29.98
1902,FAER,-23.726,27.688
1906,FAFB,-28.823,27.909
1913,FAGC,-25.986,28.14
1916,FAGG,-34.005,22.379
1918,FAGI,-23.284,30.65
1921,FAGM,-26.242,28.151
1925,FAGT,-33.285,26.498
1928,FAGY,-29.122,30.587
1929,FAHA,-28.079,26.861
1933,FAHE,-25.979,29.619
